职位名称,公司名称,工作地点,薪资,工作经验,学历要求
python开发,软通动力信息技术(集团)股份有限公司,北京·朝阳·建外,1.8-2.2万,3-5年,本科
python开发,软通动力信息技术(集团)股份有限公司,北京·朝阳·建外,1.8-2.2万,3-5年,本科
python开发,软通动力信息技术(集团)股份有限公司,北京·朝阳·建外,1.8-2.2万,3-5年,本科
python开发,软通动力信息技术(集团)股份有限公司,北京·朝阳·建外,1.8-2.2万,3-5年,本科
python开发,深圳市法本信息技术股份有限公司,北京·顺义·高丽营,1.8-2.3万,3-5年,本科
python开发,深圳市法本信息技术股份有限公司,北京·顺义·高丽营,1.8-2.3万,3-5年,本科
Python（车载语音项目，做五休二）,上海然辰网络科技有限公司,上海·徐汇·徐家汇,1.6-1.8万,3-5年,本科
Python（车载语音项目，做五休二）,上海然辰网络科技有限公司,上海·徐汇·徐家汇,1.6-1.8万,3-5年,本科
python自动化测试工程师,软通动力信息技术(集团)股份有限公司,成都·郫都·友爱,8000-12000元,1-3年,本科
python自动化测试工程师,软通动力信息技术(集团)股份有限公司,成都·郫都·友爱,8000-12000元,1-3年,本科
python爬虫工程师,北京信达华方科技有限公司,北京·海淀,8000-14000元,1-3年,大专
python爬虫工程师,北京信达华方科技有限公司,北京·海淀,8000-14000元,1-3年,大专
韩语Python开发工程师,青岛探宝电子商务有限公司,青岛·城阳·城阳街道,8000-13000元,1-3年,本科
韩语Python开发工程师,青岛探宝电子商务有限公司,青岛·城阳·城阳街道,8000-13000元,1-3年,本科
Python测试,软通动力信息技术(集团)股份有限公司,上海·浦东·金桥,1.1-1.8万,3-5年,本科
Python测试,软通动力信息技术(集团)股份有限公司,上海·浦东·金桥,1.1-1.8万,3-5年,本科
python后端开发工程师,南京周全安全咨询有限公司,南京·六合·长芦,1.3-1.8万,3-5年,本科
python后端开发工程师,南京周全安全咨询有限公司,南京·六合·长芦,1.3-1.8万,3-5年,本科
Python实习生,河南锐伴传媒科技有限公司,郑州·金水·丰庆路,6000-9000元·13薪,经验不限,学历不限
Python实习生,河南锐伴传媒科技有限公司,郑州·金水·丰庆路,6000-9000元·13薪,经验不限,学历不限
算法工程师（大模型、机器学习/深度学习、Python）,软通动力信息技术(集团)股份有限公司,武汉·洪山·花山,1.1-1.4万,3-5年,本科
算法工程师（大模型、机器学习/深度学习、Python）,软通动力信息技术(集团)股份有限公司,武汉·洪山·花山,1.1-1.4万,3-5年,本科
Python开发工程师,长扬科技(北京)股份有限公司,北京·海淀,1.5-2.5万,3-5年,本科
Python开发工程师,长扬科技(北京)股份有限公司,北京·海淀,1.5-2.5万,3-5年,本科
python软件开发工程师（外派福州）,东软集团,福州·鼓楼·鼓东,1.3-2万,3-5年,本科
python软件开发工程师（外派福州）,东软集团,福州·鼓楼·鼓东,1.3-2万,3-5年,本科
python运维开发（足额社保/急招/稳定）,软通动力信息技术(集团)股份有限公司,上海·浦东·唐镇,1.3-1.4万,3-5年,本科
python运维开发（足额社保/急招/稳定）,软通动力信息技术(集团)股份有限公司,上海·浦东·唐镇,1.3-1.4万,3-5年,本科
Python开发,上海金亥数智科技有限公司,上海·浦东·康桥,6000-8000元,1年以下,学历不限
Python开发,上海金亥数智科技有限公司,上海·浦东·康桥,6000-8000元,1年以下,学历不限
python开发工程师（智能体方向）,宏桥高科技集团有限公司,珠海·香洲区·唐家湾镇,6000-10000元,经验不限,本科
python开发工程师（智能体方向）,宏桥高科技集团有限公司,珠海·香洲区·唐家湾镇,6000-10000元,经验不限,本科
Python高级工程师,晶科能源,嘉兴·海宁市·黄湾镇,1.5-3万·13薪,1-3年,本科
Python高级工程师,晶科能源,嘉兴·海宁市·黄湾镇,1.5-3万·13薪,1-3年,本科
python后端开发工程师,河南锐伴传媒科技有限公司,济源市,6000-9000元·13薪,经验不限,学历不限
python后端开发工程师,河南锐伴传媒科技有限公司,济源市,6000-9000元·13薪,经验不限,学历不限
python开发-银行证券项目-全额公积金,上海汉朔信息科技有限公司,上海·黄浦·小东门,1.2-1.6万,3-5年,本科
python开发-银行证券项目-全额公积金,上海汉朔信息科技有限公司,上海·黄浦·小东门,1.2-1.6万,3-5年,本科
智能体开发工程师 (Python方向),薪领航(天津)管理咨询有限公司,天津·东丽·金桥,1-1.3万,3-5年,本科
智能体开发工程师 (Python方向),薪领航(天津)管理咨询有限公司,天津·东丽·金桥,1-1.3万,3-5年,本科
算法工程师（大模型、机器学习/深度学习、Python）,软通动力信息技术(集团)股份有限公司,西安·长安·王寺,1.1-1.4万,3-5年,本科
算法工程师（大模型、机器学习/深度学习、Python）,软通动力信息技术(集团)股份有限公司,西安·长安·王寺,1.1-1.4万,3-5年,本科
python开发（雨润大街）,江苏信畅信息技术有限公司,南京·建邺·沙洲,1.1-1.2万,5-10年,本科
python开发（雨润大街）,江苏信畅信息技术有限公司,南京·建邺·沙洲,1.1-1.2万,5-10年,本科
python开发（雨润大街）,江苏信畅信息技术有限公司,南京·建邺·沙洲,1.1-1.2万,5-10年,本科
python开发（雨润大街）,江苏信畅信息技术有限公司,南京·建邺·沙洲,1.1-1.2万,5-10年,本科
Python实习生,河南锐伴传媒科技有限公司,济源市,5000-9000元·13薪,经验不限,学历不限
Python实习生,河南锐伴传媒科技有限公司,济源市,5000-9000元·13薪,经验不限,学历不限
算法工程师（大模型、机器学习/深度学习、Python）,软通动力信息技术(集团)股份有限公司,深圳·龙岗·坂田,1.2-1.6万,3-5年,本科
算法工程师（大模型、机器学习/深度学习、Python）,软通动力信息技术(集团)股份有限公司,深圳·龙岗·坂田,1.2-1.6万,3-5年,本科
Python开发工程师,山东易构软件技术股份有限公司,济南·历下·舜华路,6000-9000元·13薪,无经验,本科
Python开发工程师,山东易构软件技术股份有限公司,济南·历下·舜华路,6000-9000元·13薪,无经验,本科
python开发工程师,上海微创软件股份有限公司,广州·天河·新塘,1.5-2万,3-5年,大专
python开发工程师,上海微创软件股份有限公司,广州·天河·新塘,1.5-2万,3-5年,大专
人工智能python,鑫锡软件(朝阳)有限公司,北京·海淀,1.5-1.6万,1-3年,本科
人工智能python,鑫锡软件(朝阳)有限公司,北京·海淀,1.5-1.6万,1-3年,本科
python后端开发工程师,郑州维堃汽车科技有限公司,三门峡·湖滨区·河南三门峡经济开发区,7000-9000元,经验不限,大专
python后端开发工程师,郑州维堃汽车科技有限公司,三门峡·湖滨区·河南三门峡经济开发区,7000-9000元,经验不限,大专
上海智能汽车车载测试（懂python）,软通动力信息技术(集团)股份有限公司,上海·浦东·曹路,1-1.5万,3-5年,本科
上海智能汽车车载测试（懂python）,软通动力信息技术(集团)股份有限公司,上海·浦东·曹路,1-1.5万,3-5年,本科
人工智能Python开发工程师,鑫锡软件(朝阳)有限公司,北京·海淀·中关村,1-1.5万,1-3年,本科
人工智能Python开发工程师,鑫锡软件(朝阳)有限公司,北京·海淀·中关村,1-1.5万,1-3年,本科
Java/C/C++/Python/Go开发工程师,郑州煦秋信息科技有限公司,洛阳·偃师,6000-9000元·13薪,经验不限,本科
Java/C/C++/Python/Go开发工程师,郑州煦秋信息科技有限公司,洛阳·偃师,6000-9000元·13薪,经验不限,本科
python后端开发工程师,郑州维堃汽车科技有限公司,濮阳·华龙区·黄河路街道,7000-9000元,经验不限,大专
python后端开发工程师,郑州维堃汽车科技有限公司,濮阳·华龙区·黄河路街道,7000-9000元,经验不限,大专
python工程师（爬虫）,宁波渠成集团有限公司,宁波·鄞州·首南,1-1.5万,1-3年,本科
python工程师（爬虫）,宁波渠成集团有限公司,宁波·鄞州·首南,1-1.5万,1-3年,本科
python爬虫工程师+大平台+双休,安徽百得思维信息科技有限公司,合肥·蜀山·高新区,1-1.4万,1年以下,大专
python爬虫工程师+大平台+双休,安徽百得思维信息科技有限公司,合肥·蜀山·高新区,1-1.4万,1年以下,大专
Python开发工程师,浙江鸿巨货运代理有限公司,南昌·南昌县·昌东,5000-8000元,经验不限,本科
Python开发工程师,浙江鸿巨货运代理有限公司,南昌·南昌县·昌东,5000-8000元,经验不限,本科
python爬虫工程师,武汉市昌盛通信息有限公司,武汉·洪山·关山,6000-10000元,1年以下,本科
python爬虫工程师,武汉市昌盛通信息有限公司,武汉·洪山·关山,6000-10000元,1年以下,本科
数字化工程师（Python方向）,SGS,宁波·高新区·梅墟,9000-12000元,1-3年,本科
数字化工程师（Python方向）,SGS,宁波·高新区·梅墟,9000-12000元,1-3年,本科
Python 爬虫工程师,陕西奥达万仕科技有限公司,西安·雁塔·丈八沟,7000-10000元,1-3年,本科
Python 爬虫工程师,陕西奥达万仕科技有限公司,西安·雁塔·丈八沟,7000-10000元,1-3年,本科
软件开发/测试/算法 java、c/c++、python、js（可接24/25应届无经验）,华为技术有限公司,东莞·大朗镇,1.5-3万·14薪,经验不限,本科
软件开发/测试/算法 java、c/c++、python、js（可接24/25应届无经验）,华为技术有限公司,东莞·大朗镇,1.5-3万·14薪,经验不限,本科
Planning and Forecasting Python Developer,汇丰环球,佛山·南海·桂城,1.5-2.8万,经验不限,本科
Planning and Forecasting Python Developer,汇丰环球,佛山·南海·桂城,1.5-2.8万,经验不限,本科
python爬虫工程师+rpa+ai,济南聚财跨境电子商务有限公司,济南·历下·姚家,1-1.5万,3-5年,大专
python爬虫工程师+rpa+ai,济南聚财跨境电子商务有限公司,济南·历下·姚家,1-1.5万,3-5年,大专
python软件工程师,云南全佰科技有限公司,昆明·盘龙·联盟,6000-12000元,1-3年,学历不限
python软件工程师,云南全佰科技有限公司,昆明·盘龙·联盟,6000-12000元,1-3年,学历不限
python软件工程师,云南全佰科技有限公司,昆明·盘龙·联盟,6000-12000元,1-3年,学历不限
python软件工程师,云南全佰科技有限公司,昆明·盘龙·联盟,6000-12000元,1-3年,学历不限
Python一周休两天一周休两天,河北谱飞科特人力资源服务有限公司,长春·九台·南岭,1-1.2万·13薪,经验不限,高中
Python一周休两天一周休两天,河北谱飞科特人力资源服务有限公司,长春·九台·南岭,1-1.2万·13薪,经验不限,高中
python脚本开发工程师 (制造业）,深圳中科四合科技有限公司,厦门·海沧·海沧,7000-14000元,3-5年,本科
python脚本开发工程师 (制造业）,深圳中科四合科技有限公司,厦门·海沧·海沧,7000-14000元,3-5年,本科
python爬虫助理工程师,安徽雅云晖智能科技有限公司,合肥·庐阳,5000-6000元,经验不限,本科
python爬虫助理工程师,安徽雅云晖智能科技有限公司,合肥·庐阳,5000-6000元,经验不限,本科
python开发工程师,甘肃睿阳科技有限公司,平凉·崆峒区,4000-8000元,1-3年,本科
python开发工程师,甘肃睿阳科技有限公司,平凉·崆峒区,4000-8000元,1-3年,本科
Planning and Forecasting Python Developer,汇丰环球,广州·越秀·六榕,1.5-2.8万,经验不限,本科
Planning and Forecasting Python Developer,汇丰环球,广州·越秀·六榕,1.5-2.8万,经验不限,本科
Python开发工程师,捷佳润科技集团股份有限公司,南宁·西乡塘·安宁,9000-15000元,1-3年,本科
Python开发工程师,捷佳润科技集团股份有限公司,南宁·西乡塘·安宁,9000-15000元,1-3年,本科
python技术开发工程师,山西中博新创科技有限公司,太原·小店·平阳路,4000-6000元,1-3年,本科
python技术开发工程师,山西中博新创科技有限公司,太原·小店·平阳路,4000-6000元,1-3年,本科
python开发,外企德科,北京·朝阳·望京,1-1.4万,1-3年,本科
python开发,外企德科,北京·朝阳·望京,1-1.4万,1-3年,本科
软件工程师（Java/python/JS/C++）,外企德科数字技术有限公司,上海·青浦·金泽,1.5-3万·14薪,经验不限,本科
软件工程师（Java/python/JS/C++）,外企德科数字技术有限公司,上海·青浦·金泽,1.5-3万·14薪,经验不限,本科
python后端开发工程师,河北数微信息技术有限公司,秦皇岛·抚宁区·榆关镇,5000-10000元,3-5年,本科
python后端开发工程师,河北数微信息技术有限公司,秦皇岛·抚宁区·榆关镇,5000-10000元,3-5年,本科
通信自动化测试（python、路由器、通信网络,瞬联软件科技(北京)有限公司,上海·徐汇·虹梅路,1.6-2.3万·13薪,3-5年,大专
通信自动化测试（python、路由器、通信网络,瞬联软件科技(北京)有限公司,上海·徐汇·虹梅路,1.6-2.3万·13薪,3-5年,大专
Python开发（大厂外包）,外企德科数字技术有限公司,深圳·龙岗·坂田,1.2-1.9万,3-5年,本科
Python开发（大厂外包）,外企德科数字技术有限公司,深圳·龙岗·坂田,1.2-1.9万,3-5年,本科
Python开发工程师,河南九御博电电气工程有限公司,郑州·金水·兴达路,8000-16000元,经验不限,大专
Python开发工程师,河南九御博电电气工程有限公司,郑州·金水·兴达路,8000-16000元,经验不限,大专
python后端开发工程师,天津蔓成科技有限公司,天津·东丽·华明,1-1.8万,1-3年,本科
python后端开发工程师,天津蔓成科技有限公司,天津·东丽·华明,1-1.8万,1-3年,本科
Java/C/C++/Python/前端/测试（接受应届）,外企德科数字技术有限公司,长沙·开福·月湖,1.5-3万·14薪,经验不限,本科
Java/C/C++/Python/前端/测试（接受应届）,外企德科数字技术有限公司,长沙·开福·月湖,1.5-3万·14薪,经验不限,本科
python后端开发工程师（人工智能方向）,上海翼多翼得健康科技有限公司,上海·普陀·长征,1.5-3万,3-5年,本科
python后端开发工程师（人工智能方向）,上海翼多翼得健康科技有限公司,上海·普陀·长征,1.5-3万,3-5年,本科
Python工程师,外企德科,上海·浦东·金桥,1.7-2.6万·14薪,1-3年,本科
Python工程师,外企德科,上海·浦东·金桥,1.7-2.6万·14薪,1-3年,本科
软件岗（Java/Python/C/C++/软测/嵌入式等）,外企德科数字技术有限公司,杭州·滨江·长河,1.3-2.6万·14薪,经验不限,本科
软件岗（Java/Python/C/C++/软测/嵌入式等）,外企德科数字技术有限公司,杭州·滨江·长河,1.3-2.6万·14薪,经验不限,本科
Python实习生,深圳市智胜益辉科技有限公司,深圳·龙岗·坂田,6000-10000元·13薪,经验不限,本科
Python实习生,深圳市智胜益辉科技有限公司,深圳·龙岗·坂田,6000-10000元·13薪,经验不限,本科
python/c++少儿编程老师,郑州市中原区比创科技培训有限公司,郑州·金水·文化路,5000-10000元,经验不限,大专
python/c++少儿编程老师,郑州市中原区比创科技培训有限公司,郑州·金水·文化路,5000-10000元,经验不限,大专
python/c++少儿编程老师,郑州市中原区比创科技培训有限公司,郑州·金水·文化路,5000-10000元,经验不限,大专
python/c++少儿编程老师,郑州市中原区比创科技培训有限公司,郑州·金水·文化路,5000-10000元,经验不限,大专
软件岗（Java/Python/C/C++/软测/嵌入式等）,外企德科数字技术有限公司,武汉·江夏·豹澥,1.4-2.8万·14薪,经验不限,本科
软件岗（Java/Python/C/C++/软测/嵌入式等）,外企德科数字技术有限公司,武汉·江夏·豹澥,1.4-2.8万·14薪,经验不限,本科
Python算法工程师,中国人民解放军军事科学院战争研究院,北京·海淀,1.3-2.6万·13薪,经验不限,硕士
Python算法工程师,中国人民解放军军事科学院战争研究院,北京·海淀,1.3-2.6万·13薪,经验不限,硕士
后端开发工程师（Java/Python）,北京鑫质世纪科技股份有限公司,北京·东城·和平里,1-2万,3-5年,本科
后端开发工程师（Java/Python）,北京鑫质世纪科技股份有限公司,北京·东城·和平里,1-2万,3-5年,本科
软件研发工程师（有Java、C、C++、Python、go、JS等）,外企德科数字技术有限公司,南京·雨花台·雨花,1.2-2.4万·14薪,经验不限,本科
软件研发工程师（有Java、C、C++、Python、go、JS等）,外企德科数字技术有限公司,南京·雨花台·雨花,1.2-2.4万·14薪,经验不限,本科
爬虫Python开发工程师,美通社,北京·朝阳·建外,9000-14000元,经验不限,本科
爬虫Python开发工程师,美通社,北京·朝阳·建外,9000-14000元,经验不限,本科
Python开发工程师,上海洛书投资管理有限公司,上海·浦东·花木,2-4万,3-5年,学历不限
Python开发工程师,上海洛书投资管理有限公司,上海·浦东·花木,2-4万,3-5年,学历不限
Java/JS/Python/算法/C/C++工程师,外企德科数字技术有限公司,东莞·大朗镇,1.2-2.4万·14薪,经验不限,本科
Java/JS/Python/算法/C/C++工程师,外企德科数字技术有限公司,东莞·大朗镇,1.2-2.4万·14薪,经验不限,本科
算法工程师（大模型、机器学习/深度学习、Python）,弘庚咨询有限公司,济南·历下·姚家,1.5-2万,3-5年,本科
算法工程师（大模型、机器学习/深度学习、Python）,弘庚咨询有限公司,济南·历下·姚家,1.5-2万,3-5年,本科
python后端开发工程师+远程办公,九江京聘人力资源服务有限公司,北京·昌平,6000-10000元,1-3年,大专
python后端开发工程师+远程办公,九江京聘人力资源服务有限公司,北京·昌平,6000-10000元,1-3年,大专
软件研发工程师（有Java、C、C++、Python、go、JS等）,外企德科数字技术有限公司,武汉·江夏·豹澥,1.2-2.4万·14薪,经验不限,本科
软件研发工程师（有Java、C、C++、Python、go、JS等）,外企德科数字技术有限公司,武汉·江夏·豹澥,1.2-2.4万·14薪,经验不限,本科
Python开发,深圳市法本信息技术股份有限公司,北京·昌平·史各庄,1.4-1.6万,3-5年,本科
Python开发,深圳市法本信息技术股份有限公司,北京·昌平·史各庄,1.4-1.6万,3-5年,本科
python后端开发工程师,郑州橙淼汽车科技有限公司,漯河·源汇区·马路街街道,8000-10000元,经验不限,大专
python后端开发工程师,郑州橙淼汽车科技有限公司,漯河·源汇区·马路街街道,8000-10000元,经验不限,大专
Java/C/C++/Python/JS 软件开发（多部门推荐）,外企德科数字技术有限公司,武汉·江夏·豹澥,1.5-3万·14薪,经验不限,本科
Java/C/C++/Python/JS 软件开发（多部门推荐）,外企德科数字技术有限公司,武汉·江夏·豹澥,1.5-3万·14薪,经验不限,本科
python后端开发工程师,郑州由塔汽车科技有限公司,信阳·浉河区·民权街道,7000-9000元,经验不限,大专
python后端开发工程师,郑州由塔汽车科技有限公司,信阳·浉河区·民权街道,7000-9000元,经验不限,大专
python软件工程师,株式会社GSD,日本,1.4-2.8万,1-3年,大专
python软件工程师,株式会社GSD,日本,1.4-2.8万,1-3年,大专
软件开发工程师(Java/C/C++/Python/Js),外企德科数字技术有限公司,深圳·龙岗·坂田,1.5-3万,经验不限,本科
软件开发工程师(Java/C/C++/Python/Js),外企德科数字技术有限公司,深圳·龙岗·坂田,1.5-3万,经验不限,本科
python老师,保定市莲池区夸克科技培训学校有限公司,保定·莲池·韩庄,5000-8000元,经验不限,本科
python老师,保定市莲池区夸克科技培训学校有限公司,保定·莲池·韩庄,5000-8000元,经验不限,本科
FineReport工程师（Python）,北京京仪自动化装备技术股份有限公司,芜湖·鸠江区·沈巷镇,1-1.5万·13薪,1-3年,本科
FineReport工程师（Python）,北京京仪自动化装备技术股份有限公司,芜湖·鸠江区·沈巷镇,1-1.5万·13薪,1-3年,本科
数据架构师（供应链数据架构师-python开发）,外企德科数字技术有限公司,东莞·大朗镇,7000-13000元,经验不限,本科
数据架构师（供应链数据架构师-python开发）,外企德科数字技术有限公司,东莞·大朗镇,7000-13000元,经验不限,本科
python爬虫工程师,河南乐享微生活贸易有限公司,郑州·金水·祭城路,6000-8000元,1-3年,大专
python爬虫工程师,河南乐享微生活贸易有限公司,郑州·金水·祭城路,6000-8000元,1-3年,大专
python爬虫工程师,河南乐享微生活贸易有限公司,郑州·金水·祭城路,6000-8000元,1-3年,大专
python爬虫工程师,河南乐享微生活贸易有限公司,郑州·金水·祭城路,6000-8000元,1-3年,大专
python爬虫工程师,成都图巧科技有限公司,成都·武侯·桂溪,5000-8000元,1-3年,大专
python爬虫工程师,成都图巧科技有限公司,成都·武侯·桂溪,5000-8000元,1-3年,大专
C++/python/Java/C/C# 五险一金、年终奖,外企德科数字技术有限公司,武汉·江夏·豹澥,1.5-3万·16薪,1-3年,本科
C++/python/Java/C/C# 五险一金、年终奖,外企德科数字技术有限公司,武汉·江夏·豹澥,1.5-3万·16薪,1-3年,本科
python开发工程师,立信会计师事务所(特殊普通合伙)北京分所,北京·朝阳·亚运村,8000-9000元,1-3年,本科
python开发工程师,立信会计师事务所(特殊普通合伙)北京分所,北京·朝阳·亚运村,8000-9000元,1-3年,本科
python爬虫工程师,成都图巧科技有限公司,成都·武侯·桂溪,5000-8000元·13薪,1-3年,大专
python爬虫工程师,成都图巧科技有限公司,成都·武侯·桂溪,5000-8000元·13薪,1-3年,大专
C/C++、Java、Scala、Python、go，JS/前端/测试等,外企德科数字技术有限公司,西安·雁塔·漳浒寨,1.2-2万·14薪,经验不限,本科
C/C++、Java、Scala、Python、go，JS/前端/测试等,外企德科数字技术有限公司,西安·雁塔·漳浒寨,1.2-2万·14薪,经验不限,本科
python / java工程师,软通动力信息技术(集团)股份有限公司,苏州·工业园区,1-1.5万,1-3年,本科
python / java工程师,软通动力信息技术(集团)股份有限公司,苏州·工业园区,1-1.5万,1-3年,本科
python后端开发工程师,宁德岭阳电子科技有限公司,宁德·福安市·城阳镇,6000-9000元·14薪,1-3年,大专
python后端开发工程师,宁德岭阳电子科技有限公司,宁德·福安市·城阳镇,6000-9000元·14薪,1-3年,大专
python后端开发工程师,外企德科数字技术有限公司,杭州·滨江·长河,1.7-2.2万,1-3年,本科
python后端开发工程师,外企德科数字技术有限公司,杭州·滨江·长河,1.7-2.2万,1-3年,本科
python / java工程师,软通动力信息技术(集团)股份有限公司,上海·浦东·金桥,1-1.5万,1-3年,本科
python / java工程师,软通动力信息技术(集团)股份有限公司,上海·浦东·金桥,1-1.5万,1-3年,本科
python数据分析师,山东云图易购电子商务有限公司,潍坊·奎文·清池,5000-7000元,3-5年,本科
python数据分析师,山东云图易购电子商务有限公司,潍坊·奎文·清池,5000-7000元,3-5年,本科
Java/C/C++/Python/软测前端,外企德科数字技术有限公司,武汉·江夏·豹澥,1.5-3万·14薪,经验不限,本科
Java/C/C++/Python/软测前端,外企德科数字技术有限公司,武汉·江夏·豹澥,1.5-3万·14薪,经验不限,本科
python爬虫工程师,软通动力信息技术(集团)股份有限公司,西安·雁塔·漳浒寨,9000-14000元,经验不限,本科
python爬虫工程师,软通动力信息技术(集团)股份有限公司,西安·雁塔·漳浒寨,9000-14000元,经验不限,本科
Python算法工程师,合邦电力科技有限公司,太原·小店·平阳路,1-1.3万,1-3年,硕士
Python算法工程师,合邦电力科技有限公司,太原·小店·平阳路,1-1.3万,1-3年,硕士
软件研发工程师（有Java、C、C++、Python、go、JS等）,外企德科数字技术有限公司,东莞·大朗镇,1.2-2.4万·14薪,经验不限,本科
软件研发工程师（有Java、C、C++、Python、go、JS等）,外企德科数字技术有限公司,东莞·大朗镇,1.2-2.4万·14薪,经验不限,本科
